OBJECTID,COUNTY,CNTYCODE,LAND,ISLAND,TAG,GlobalID,created_user,created_date,last_edited_user,last_edited_date,ShapeSTArea,ShapeSTLength
4071,Lincoln,15,y,y,n,{788978F4-8F2D-45F8-9A66-C242C67A63F4},,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,131.974478135,46.177786744605
4072,Lincoln,15,y,y,n,{83A98529-169F-407D-BFFE-25CBCB48200E},,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,44.398603105,25.7270850594414
4073,Lincoln,15,y,y,n,{815F12DC-9154-4528-85B7-C0C90AB21B8B},,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,82.26727501,37.0620163323341
4074,Lincoln,15,y,y,n,{3203EEE6-B015-4DF9-8769-4F87BEFF73EB},,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,263.087867195,63.9063715322072
4075,Lincoln,15,y,y,n,{975C11D2-56C1-499E-A44D-2BC18DFA2E6E},,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,5613.310664565,311.780408927979
4076,Lincoln,15,y,y,n,{72F9550D-16B5-41CD-8C25-7D136E7BBF80},,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,8982.076493755,379.08410922424
4077,Lincoln,15,y,y,n,{9E57A772-824F-45C6-B428-E3721284040C},,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,159.50079374,54.2584427916561
4078,Lincoln,15,y,y,n,{5FF8D50C-F4CA-40A1-B16B-2DEC0D26F0E7},,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,188.926319295,53.3641538277181
4079,Lincoln,15,y,y,n,{5D6D8E6A-3BFA-4A19-9855-030192AACFF3},,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,151.152064065,48.9246155820871
4080,Lincoln,15,y,y,n,{41097752-B383-4177-BBC7-FED470850283},,1970/01/01 00:00:00+00,,1970/01/01 00:00:00+00,858.002953105,124.657244294359
